caliber_mm,projectile,weapon_system,charge_id,bag_color,zone,mv_mps,max_range_m,elev_mil,fuze_set_sec,source
105,M314A3_ILLUM,M102/M108,6-M67,CARTRIDGE,6,393.0,9600,0,0,TM43-0001-28 p3-38
105,M314A3_ILLUM,M102/M108,7-M67,CARTRIDGE,7,494.0,11500,0,0,TM43-0001-28 p3-38
155,M107_HE,M198/M199,1-M3A1,GREEN,1,211.8,4000,673.6,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,2-M3A1,GREEN,2,239.8,5000,722.4,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,3-M3A1,GREEN,3,280.8,6500,690.4,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,4-M3A1,GREEN,4,322.9,8300,760.9,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,5-M3A1,GREEN,5,380.1,9800,717.2,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,3-M4A2,WHITE,3,296.5,7200,734.9,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,4-M4A2,WHITE,4,340.9,8900,736.8,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,5-M4A2,WHITE,5,398.0,10300,756.1,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,6-M4A2,WHITE,6,482.0,12400,758.4,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,7-M4A2,WHITE,7,574.3,14800,760.3,0,TM43-0001-28 p3-98/99
155,M107_HE,M198/M199,8-M119A1,WHITE,8,684.3,18100,781.5,0,TM43-0001-28 p3-98/99
155,M107_HE,M126A1/M185,1-M3A1,GREEN,1,207.3,3900,729.2,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,2-M3A1,GREEN,2,236.2,4900,710.1,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,3-M3A1,GREEN,3,275.8,6500,739.3,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,4-M3A1,GREEN,4,317.0,8200,744.1,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,5-M3A1,GREEN,5,374.9,9800,743.2,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,3-M4A2,WHITE,3,269.7,6200,700.7,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,4-M4A2,WHITE,4,313.9,8000,700.8,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,5-M4A2,WHITE,5,373.4,9800,778.8,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,6-M4A2,WHITE,6,461.8,12000,746.2,0,TM43-0001-28 p3-98
155,M107_HE,M126A1/M185,7-M4A2,WHITE,7,562.4,14600,772.5,0,TM43-0001-28 p3-98
155,M107_HE,M114A2,3G-M3A1,GREEN,3,261.9,5852,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,4G-M3A1,GREEN,4,303.6,7450,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,5G-M3A1,GREEN,5,358.1,9167,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,3W-M4A2,WHITE,3,285.2,7230,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,4W-M4A2,WHITE,4,326.5,8630,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,5W-M4A2,WHITE,5,381.3,10080,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,6W-M4A2,WHITE,6,460.7,12150,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,7W-M4A2,WHITE,7,546.2,14650,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,8-M119A1,WHITE,8,655.8,17740,0,0,TM43-0001-28 p3-136
155,M107_HE,M114A2,7R-M119A2,RED,7,660.0,17740,0,0,TM43-0001-28 p3-136
155,M549A1_HERA,M114A2/M109,7-M4A2,WHITE,7,560.8,19300,0,0,TM43-0001-28 p3-121
155,M549A1_HERA,M109A1/A2,7-M4A2,WHITE,7,567.5,19500,0,0,TM43-0001-28 p3-121
155,M549A1_HERA,M109A3/M198,8_7-M119A2,RED,8,678.2,23500,0,0,TM43-0001-28 p3-121
155,M549A1_HERA,M198,8-M203,RED,8,826.0,30100,0,0,TM43-0001-28 p3-121
155,M718A1_AT,M198/M199,3G-M3A1,GREEN,3,261.9,5852,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,4G-M3A1,GREEN,4,303.6,7450,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,5G-M3A1,GREEN,5,358.1,9167,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,3W-M4A2,WHITE,3,285.2,7230,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,4W-M4A2,WHITE,4,326.5,8630,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,5W-M4A2,WHITE,5,381.3,10080,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,6W-M4A2,WHITE,6,460.7,12150,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,7W-M4A2,WHITE,7,546.2,14650,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,8-M119A1,WHITE,8,655.8,17740,0,0,TM43-0001-28 p3-141
155,M718A1_AT,M198/M199,7R-M119A2,RED,7,660.0,17740,0,0,TM43-0001-28 p3-141
155,M485_ILLUM,M126A1,1-M3A1,GREEN,1,211.4,2949,931.0,24.5,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,2-M3A1,GREEN,2,239.1,3923,924.6,29.2,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,3-M3A1,GREEN,3,282.6,5587,920.3,36.0,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,4-M3A1,GREEN,4,324.7,7236,852.7,39.0,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,5-M3A1,GREEN,5,385.6,8816,856.6,44.1,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,3-M4A2,WHITE,3,275.0,5293,921.4,34.9,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,4-M4A2,WHITE,4,320.7,7057,898.8,40.4,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,5-M4A2,WHITE,5,380.0,8635,898.7,45.7,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,6-M4A2,WHITE,6,473.6,10993,855.0,50.7,TM43-0001-28 p3-116
155,M485_ILLUM,M126A1,7-M4A2,WHITE,7,576.5,13586,879.2,59.7,TM43-0001-28 p3-116
155,M485_ILLUM,M185,1-M3A1_EMERG,GREEN,1,213.6,2970,995.1,26.8,TM43-0001-28 p3-116
155,M485_ILLUM,M185,2-M3A1,GREEN,2,240.3,3933,954.7,30.3,TM43-0001-28 p3-116
155,M485_ILLUM,M185,3-M3A1,GREEN,3,281.0,5569,874.2,34.0,TM43-0001-28 p3-116
155,M485_ILLUM,M185,4-M3A1,GREEN,4,323.3,7155,896.4,40.7,TM43-0001-28 p3-116
155,M485_ILLUM,M185,5-M3A1,GREEN,5,381.7,8721,865.6,44.3,TM43-0001-28 p3-116
155,M485_ILLUM,M185,3-M4A2,WHITE,3,309.8,6746,865.1,37.9,TM43-0001-28 p3-116
155,M485_ILLUM,M185,4-M4A2,WHITE,4,353.2,7949,906.3,43.9,TM43-0001-28 p3-116
155,M485_ILLUM,M185,5-M4A2,WHITE,5,408.4,9317,870.0,46.4,TM43-0001-28 p3-116
155,M485_ILLUM,M185,6-M4A2,WHITE,6,488.9,11304,885.5,53.4,TM43-0001-28 p3-116
155,M485_ILLUM,M185,7-M4A2,WHITE,7,576.5,13586,878.5,59.7,TM43-0001-28 p3-116
155,M485_ILLUM,M185,8-M119A1,WHITE,8,696.7,17086,856.5,68.0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,1-M3A1,GREEN,1,212.8,4000,673.6,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,2-M3A1,GREEN,2,239.8,5000,722.4,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,3-M3A1,GREEN,3,280.8,6500,690.4,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,4-M3A1,GREEN,4,322.9,8300,760.9,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,5-M3A1,GREEN,5,380.1,9800,717.2,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,3-M4A2,WHITE,3,296.5,7200,734.9,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,4-M4A2,WHITE,4,340.9,8900,736.8,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,5-M4A2,WHITE,5,398.0,10300,756.1,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,6-M4A2,WHITE,6,482.0,12400,758.4,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,7-M4A2,WHITE,7,574.3,14800,760.3,0,TM43-0001-28 p3-116
155,M485_ILLUM,M199,8-M119A1,WHITE,8,684.3,18100,781.5,0,TM43-0001-28 p3-116
